epoch,val_loss,val_acc
41,4.9751,22.26
42,4.9605,22.53
43,4.9893,22.17
44,4.9767,22.30
45,4.9793,22.28
46,4.9752,22.30
47,4.9807,22.30
48,4.9865,22.24
49,4.9693,22.45
50,4.9663,22.51
41,4.9439,22.58
42,4.9421,22.55
43,4.9658,22.27
44,4.9428,22.78
45,4.9839,22.11
46,5.0059,21.85
47,5.0168,21.88
48,4.9828,22.20
49,4.9987,22.11
50,5.0025,22.01
51,5.0252,21.73
52,4.9380,22.94
53,5.0116,21.99
54,4.9641,22.53
55,4.9668,22.66
56,5.0037,22.04
57,5.0119,22.11
58,4.9342,22.99
59,4.9955,22.27
60,5.0084,22.05
61,5.0048,22.27
62,4.9889,22.50
63,4.9672,22.83
64,4.9833,22.53
65,4.9620,22.85
66,4.9578,22.88
67,4.9828,22.65
68,4.9888,22.53
69,4.9674,22.74
70,4.9713,22.79
71,5.0012,22.45
72,4.9885,22.54
73,4.9756,22.68
74,5.0091,22.19
75,4.9620,23.08
76,5.0035,22.52
77,4.9674,22.94
78,4.9795,22.76
79,4.9796,22.72
80,4.9706,22.88
81,5.0017,22.34
82,4.9788,22.81
83,4.9927,22.70
84,4.9964,22.56
85,4.9948,22.60
86,5.0047,22.41
87,5.0112,22.31
88,4.9718,22.83
89,4.9815,22.84
90,5.0116,22.40
91,4.9866,22.72
92,4.9783,22.86
93,5.0115,22.35
94,5.0089,22.47
95,5.0186,22.33
96,4.9963,22.63
97,5.0064,22.52
98,5.0003,22.58
99,4.9909,22.69
100,5.0002,22.57
