epoch, train_loss, train_acc, val_loss, val_acc
64,3.1038,58.15,2.7969,56.08
65,3.0532,58.91,2.7762,56.58
66,3.0099,59.70,2.7657,56.77
67,3.0002,59.91,2.7712,56.64
68,2.9891,60.12,2.7863,56.30
69,2.9823,60.27,2.7870,56.23
70,2.9721,60.49,2.7930,56.11
71,2.9545,60.84,2.7725,56.58
72,2.9450,61.04,2.7780,56.44
73,2.9416,61.13,2.7886,56.10
74,2.9379,61.15,2.7578,56.81
75,2.9241,61.49,2.7741,56.45
76,2.9238,61.55,2.7615,56.79
77,2.9158,61.72,2.7532,56.95
78,2.9020,62.00,2.7576,56.97
79,2.9089,61.91,2.7656,56.64
80,2.8983,62.10,2.7450,57.10
81,2.8903,62.35,2.7605,56.86
82,2.8827,62.48,2.7452,57.06
83,2.8756,62.64,2.7723,56.70
84,2.8745,62.70,2.7526,57.05
85,2.8554,63.10,2.7611,56.79
86,2.8600,63.05,2.7515,57.11
87,2.8523,63.20,2.7507,57.03
88,2.8577,63.11,2.7575,56.89
89,2.8507,63.25,2.7462,57.22
90,2.8509,63.28,2.7395,57.36
91,2.8463,63.38,2.7446,57.16
92,2.8363,63.63,2.7420,57.23
93,2.8435,63.47,2.7436,57.17
94,2.8327,63.67,2.7398,57.27
95,2.8440,63.49,2.7426,57.29
96,2.8395,63.59,2.7424,57.28
97,2.8261,63.84,2.7385,57.36
98,2.8461,63.45,2.7392,57.27
99,2.8327,63.70,2.7416,57.23
100,2.8472,63.50,2.7411,57.29
